avg_inflow,avg_outflow,savings_rate,volatility,academic_score,part_time_income,emi_count,label_score
11169,7170,0.33,0.38,8.8,0,4,82
16933,12890,0.22,0.15,7.8,6548,0,93
28571,26457,0.06,0.18,8.5,0,4,54
11666,10133,0.13,0.22,6.9,3602,1,68
20234,16675,0.16,0.51,7.3,7028,4,58
27685,22580,0.19,0.26,9.1,0,2,79
8723,8072,0.12,0.54,9.3,0,2,51
9177,6473,0.26,0.46,9.2,0,1,78
17017,14578,0.13,0.4,9.4,7232,4,61
28387,20915,0.28,0.5,9.5,3965,4,83
24994,22935,0.09,0.11,7.5,6046,4,62
27869,18678,0.33,0.27,7.2,0,3,95
15922,15440,0.05,0.38,9.0,0,4,42
23145,18086,0.23,0.34,9.3,0,1,84
17356,13848,0.21,0.51,7.9,3742,0,75
17048,13054,0.26,0.14,6.6,0,3,82
18529,17425,0.07,0.15,8.5,0,3,57
22961,15834,0.3,0.48,8.1,0,2,86
26238,22949,0.13,0.11,7.8,4871,1,78
19086,16424,0.12,0.19,9.4,5275,1,76
16099,11476,0.27,0.36,7.8,0,1,84
14815,9877,0.33,0.33,6.1,3931,2,90
19307,18440,0.05,0.3,8.0,0,0,56
21267,19422,0.1,0.11,7.4,4150,1,70
29030,26887,0.06,0.59,7.6,0,0,48
21402,15726,0.26,0.52,6.4,3235,2,75
28789,23755,0.19,0.42,8.3,0,0,77
29486,22312,0.23,0.42,6.7,0,4,71
10287,6705,0.33,0.16,8.7,0,2,95
12868,10142,0.24,0.2,6.7,0,4,72
18979,17462,0.07,0.32,9.1,2097,1,60
25617,17679,0.32,0.36,6.2,5948,1,95
28412,25410,0.11,0.4,9.8,3681,1,67
18902,13633,0.27,0.49,8.7,5255,3,80
17477,15986,0.09,0.29,6.4,0,2,53
24369,20357,0.18,0.55,6.3,4615,4,56
27533,20000,0.29,0.24,7.5,0,0,95
23983,16865,0.29,0.48,9.2,0,1,90
17477,11567,0.32,0.34,7.5,0,3,87
8783,6051,0.29,0.32,9.1,3584,1,90
8244,6011,0.25,0.52,7.4,0,0,73
14466,11547,0.17,0.29,7.7,0,4,63
11861,10805,0.05,0.59,9.1,5518,1,48
13603,11294,0.2,0.43,9.0,0,2,68
22239,17043,0.22,0.12,6.8,0,2,84
26619,18794,0.28,0.5,6.9,0,1,85
28236,25083,0.12,0.48,8.3,6292,2,61
16244,14920,0.08,0.11,8.8,0,3,61
26467,23432,0.11,0.21,8.3,7333,3,68
26246,22215,0.16,0.6,7.0,4097,1,61
13131,11055,0.12,0.12,7.7,0,0,74
14029,10612,0.27,0.23,9.5,0,3,85
23834,15423,0.34,0.37,9.4,2855,1,95
27737,24489,0.12,0.58,9.2,0,1,58
27032,17735,0.33,0.5,8.1,0,1,95
20784,18564,0.1,0.47,6.4,0,3,46
28814,24259,0.15,0.13,8.9,5991,1,85
9049,8167,0.11,0.41,9.1,0,1,58
8685,6212,0.27,0.56,9.5,5048,4,70
23976,20901,0.11,0.4,8.3,0,4,52
8699,7746,0.08,0.23,9.6,4669,0,69
13674,10238,0.24,0.3,9.3,0,4,75
13700,11000,0.17,0.5,9.1,7129,2,67
28073,24289,0.14,0.4,6.7,0,4,54
26838,24169,0.11,0.51,9.7,6800,0,67
13962,10391,0.29,0.52,8.5,0,1,80
23467,17058,0.26,0.59,8.1,6325,0,85
23130,21363,0.06,0.47,9.4,0,1,52
29037,26842,0.06,0.46,8.1,0,0,54
20301,18707,0.08,0.41,7.2,6294,3,50
24712,19888,0.18,0.21,6.2,0,4,68
9423,8172,0.16,0.33,7.6,0,3,59
26335,21664,0.19,0.41,8.3,0,2,71
19051,16795,0.11,0.1,6.4,0,2,65
19034,17462,0.08,0.45,9.7,0,4,47
18508,11748,0.34,0.54,6.3,5406,0,93
14982,12722,0.18,0.2,6.2,6703,2,73
29740,22801,0.22,0.32,7.4,4405,1,87
12263,8822,0.27,0.17,6.2,4041,3,83
24471,20294,0.18,0.3,9.4,0,3,72
20390,14063,0.29,0.25,8.6,2753,4,89
8061,6650,0.23,0.26,6.9,4761,0,81
23701,18848,0.21,0.53,7.2,5940,3,68
24830,21714,0.12,0.59,7.2,0,3,47
21905,15802,0.28,0.42,7.9,0,1,86
24270,18250,0.24,0.2,8.2,0,2,88
20840,17055,0.17,0.18,8.1,7326,1,83
10480,9283,0.09,0.18,6.5,0,1,60
10043,7385,0.24,0.56,6.2,2667,1,67
14141,11192,0.2,0.41,6.6,0,0,71
22275,20576,0.09,0.25,8.5,6325,3,61
19599,15775,0.17,0.48,6.4,6581,1,68
23262,17539,0.26,0.48,9.7,7352,0,92
15112,12805,0.17,0.43,9.3,4525,0,74
8843,6694,0.26,0.6,8.4,0,3,64
11363,7406,0.34,0.45,8.0,0,4,79
20201,16757,0.15,0.12,6.7,0,1,75
22300,14671,0.33,0.57,9.7,0,0,95
14152,11399,0.22,0.32,8.8,0,3,72
23247,19959,0.16,0.16,8.9,2934,0,84
22999,19288,0.18,0.14,7.6,4576,0,86
16510,15227,0.1,0.57,7.7,3658,3,45
29828,21436,0.27,0.32,8.2,0,2,91
20466,13644,0.31,0.44,9.6,4410,2,94
14027,12076,0.14,0.2,7.2,4126,1,71
9480,9018,0.06,0.32,7.9,0,0,56
17056,13781,0.2,0.33,7.4,0,1,74
20623,13689,0.34,0.26,8.4,0,4,94
14366,10348,0.25,0.26,6.3,0,2,79
15863,14433,0.1,0.56,6.2,0,3,40
10288,7182,0.29,0.11,9.2,3022,3,93
26754,21452,0.18,0.14,8.5,6242,0,92
21592,17825,0.19,0.37,7.6,2241,0,77
28145,24553,0.11,0.47,9.5,5093,4,56
13725,10136,0.23,0.56,7.5,2123,2,67
21606,16767,0.21,0.25,7.3,7432,3,80
28313,21600,0.25,0.37,6.8,4991,0,90
22268,15199,0.32,0.57,8.9,7077,1,94
27301,21226,0.22,0.44,7.9,7602,3,77
28553,25456,0.11,0.55,7.4,0,3,48
19751,12871,0.33,0.5,9.7,0,0,95
25360,19100,0.24,0.59,9.4,3897,0,84
24018,18780,0.21,0.58,9.1,0,2,69
15120,11850,0.24,0.53,7.3,0,4,61
15896,14262,0.13,0.12,6.9,6799,2,71
17718,14645,0.15,0.56,7.0,3789,4,51
28248,17911,0.35,0.59,6.6,4632,3,91
10267,9213,0.06,0.53,6.9,2926,4,36
29412,23804,0.18,0.17,6.2,6504,1,84
21231,14899,0.3,0.13,9.0,0,1,95
26695,23622,0.1,0.41,6.5,7663,3,55
9673,6461,0.33,0.46,8.9,7914,4,83
8629,7479,0.15,0.26,7.3,0,4,57
25710,21430,0.15,0.42,8.0,0,1,67
12188,9246,0.28,0.49,7.8,4783,0,83
17228,15582,0.11,0.58,7.5,0,0,53
22087,15423,0.31,0.19,8.4,0,2,95
19862,15148,0.23,0.25,7.7,0,3,78
12861,11491,0.07,0.2,8.9,6899,4,58
27177,19949,0.28,0.41,8.0,5034,4,84
24427,21953,0.12,0.23,8.8,0,1,69
26759,19105,0.3,0.31,8.9,0,3,92
29465,23511,0.2,0.44,9.3,0,1,78
8721,7038,0.25,0.22,8.6,3785,4,77
16084,12166,0.25,0.43,6.8,0,2,73
24164,21124,0.11,0.26,8.9,0,4,59
10326,8140,0.23,0.48,8.4,0,2,68
19791,13336,0.33,0.35,6.3,0,0,95
15571,14762,0.05,0.59,6.6,0,2,36
20091,18642,0.05,0.32,7.2,0,0,55
24105,21726,0.08,0.4,7.1,0,4,45
26751,24525,0.09,0.29,7.5,7465,0,68
27915,22688,0.19,0.11,9.7,4885,1,93
18729,14170,0.23,0.17,9.8,0,3,85
18914,12984,0.32,0.34,7.1,0,4,83
23838,18371,0.25,0.24,6.5,3066,4,79
13869,12833,0.1,0.19,7.0,6227,1,66
22096,18432,0.15,0.35,6.3,0,2,62
15686,11602,0.24,0.25,8.0,5578,0,91
9917,8941,0.12,0.22,7.9,6419,4,60
13872,9796,0.32,0.59,9.8,7607,4,80
21962,18026,0.19,0.23,6.2,7624,2,77
25850,16519,0.35,0.6,8.9,0,1,95
22769,17348,0.26,0.16,9.3,5899,1,95
23022,15947,0.32,0.22,9.0,0,2,95
12828,8174,0.33,0.3,7.8,7718,4,90
23277,17986,0.21,0.45,8.2,3832,4,69
20994,15353,0.29,0.34,8.4,7297,2,93
26642,18062,0.34,0.28,7.8,4694,0,95
14778,10512,0.28,0.14,7.2,0,3,86
20105,17483,0.11,0.37,7.2,0,4,51
13931,12600,0.09,0.36,9.0,0,2,56
15200,10159,0.3,0.13,9.6,5887,1,95
12667,8589,0.34,0.34,6.7,0,0,93
15157,11048,0.3,0.51,8.3,0,2,79
22990,18120,0.23,0.33,8.5,7837,1,88
26723,17546,0.33,0.56,6.4,0,0,93
15113,13056,0.15,0.6,6.1,7290,4,48
27665,23501,0.16,0.53,7.7,3790,0,69
22906,17627,0.22,0.19,9.0,0,1,89
21492,17924,0.18,0.27,7.6,2532,4,67
24342,20034,0.18,0.35,7.0,0,1,72
27517,25461,0.09,0.19,7.7,0,1,64
24853,21796,0.14,0.24,6.1,2714,3,63
14326,9862,0.31,0.54,6.4,0,3,73
8775,8483,0.08,0.58,6.8,0,2,39
18769,16178,0.12,0.12,6.6,0,2,66
8242,5997,0.31,0.22,8.9,5680,0,95
11489,8838,0.21,0.16,8.6,2038,4,75
24954,22347,0.1,0.48,8.8,2835,2,56
24144,16410,0.32,0.25,9.7,0,3,95
13960,9438,0.34,0.34,6.3,6999,2,92
20544,15978,0.21,0.18,6.8,0,3,76
8783,7223,0.22,0.18,8.3,7751,0,89
14002,9685,0.3,0.51,9.7,0,1,85
22217,20842,0.06,0.22,7.4,7690,4,54
9890,7494,0.25,0.49,6.4,3988,4,63
27672,21345,0.23,0.33,9.0,0,3,81
25188,18787,0.27,0.29,7.0,5422,4,84
15467,13936,0.08,0.56,7.2,0,1,46
27748,26255,0.05,0.3,8.6,0,2,53
26550,25433,0.06,0.48,9.0,0,2,47
14336,11506,0.23,0.34,9.4,2558,4,73
24470,19715,0.19,0.37,7.9,2568,3,71
26665,17508,0.35,0.38,6.8,0,4,91
12981,11286,0.13,0.15,9.6,3574,1,76
23911,19257,0.2,0.17,7.7,0,1,83
28994,26173,0.09,0.43,9.7,0,4,51
13789,10738,0.22,0.24,9.6,2747,3,79
11522,10503,0.12,0.42,7.6,0,0,59
18328,13181,0.27,0.47,7.6,5439,4,75
12987,12787,0.05,0.5,7.1,0,1,42
18462,12076,0.33,0.33,6.7,0,4,85
25479,22423,0.11,0.32,7.7,3642,4,57
15499,13848,0.08,0.37,7.5,0,4,46
29772,21836,0.28,0.54,6.0,0,3,75
26200,20908,0.19,0.11,9.7,0,1,90
21600,18182,0.18,0.17,7.5,0,2,75
13690,9632,0.26,0.39,8.1,0,1,81
12211,10799,0.1,0.4,6.5,0,0,56
28207,21750,0.22,0.24,6.3,0,0,87
10846,8792,0.15,0.23,8.4,0,4,62
21292,19166,0.08,0.44,8.5,0,2,52
24532,19001,0.21,0.14,8.5,0,3,83
21268,18081,0.15,0.55,7.8,4027,1,62
16995,11580,0.32,0.24,9.4,2171,3,95
15328,11748,0.22,0.31,7.9,0,2,75
8239,5774,0.24,0.31,6.5,0,4,67
27988,20541,0.26,0.35,9.6,5019,0,95
15993,14232,0.13,0.17,8.6,7259,0,79
27056,25250,0.06,0.32,9.4,0,0,61
28849,21269,0.27,0.48,7.7,0,3,79
21528,20505,0.07,0.58,6.1,5177,0,47
14338,13473,0.05,0.26,9.7,4030,1,61
8388,7965,0.06,0.22,7.2,0,2,52
23801,19619,0.17,0.5,6.3,3542,3,59
8074,6587,0.13,0.4,8.2,2471,4,53
9479,6988,0.22,0.41,7.6,0,0,75
25440,16969,0.34,0.14,9.3,5110,1,95
22258,20461,0.08,0.45,6.2,0,0,52
27515,18905,0.33,0.29,6.0,0,4,90
18146,15032,0.15,0.12,7.5,0,2,73
26399,24170,0.1,0.39,6.3,0,4,46
21889,19269,0.14,0.19,9.6,0,1,75
22701,19236,0.15,0.32,6.9,3215,2,67
11711,10867,0.1,0.32,7.2,5827,2,58
10739,9093,0.11,0.27,8.1,0,2,60
11491,10726,0.1,0.54,9.7,5688,4,48
12905,11501,0.1,0.28,7.4,0,1,60
27606,24421,0.11,0.18,6.7,4364,4,61
21108,17450,0.17,0.44,9.2,7548,1,75
23856,20245,0.15,0.56,6.6,7970,4,54
8893,8509,0.08,0.59,6.8,0,1,42
22504,20722,0.08,0.26,7.9,4224,0,66
17039,14574,0.15,0.29,7.0,0,0,70
14103,10647,0.24,0.55,7.3,0,3,64
12673,11503,0.1,0.53,6.6,0,0,51
19996,18482,0.08,0.58,6.7,0,4,35
9046,7379,0.2,0.37,6.6,4140,2,67
22817,19146,0.15,0.24,8.5,5720,3,72
15522,11385,0.24,0.14,8.0,4665,3,86
17281,15571,0.07,0.25,7.0,3805,2,57
25608,22892,0.1,0.23,7.3,0,1,64
12617,9677,0.23,0.36,7.8,0,1,76
24087,16752,0.3,0.22,6.5,7607,2,95
21493,14869,0.29,0.56,6.8,5989,4,76
26299,20559,0.23,0.5,6.1,0,4,64
19399,12599,0.34,0.13,8.2,0,4,95
23759,18296,0.23,0.12,9.7,0,1,95
29473,23051,0.23,0.21,6.5,3566,3,83
21607,17686,0.19,0.33,8.2,5713,1,79
10530,7976,0.26,0.18,8.8,7510,0,95
19205,13477,0.28,0.3,7.2,0,1,89
19757,17996,0.09,0.54,8.8,6502,4,47
8136,7003,0.2,0.11,6.9,0,4,68
24449,17678,0.28,0.53,6.5,0,2,77
19822,14397,0.27,0.41,7.0,0,1,82
24165,20304,0.18,0.45,6.1,6603,1,69
27675,20060,0.29,0.31,7.0,0,2,90
11159,8672,0.18,0.14,6.6,0,0,79
26861,22758,0.17,0.28,8.4,4115,4,69
8170,7079,0.15,0.28,9.5,2239,0,74
27306,24463,0.12,0.24,8.4,6414,0,76
15217,12281,0.21,0.24,6.1,3999,4,69
9552,5982,0.33,0.54,6.5,0,3,74
18896,15170,0.22,0.42,8.4,0,3,69
28715,25948,0.11,0.21,9.2,2609,2,69
24775,22638,0.09,0.15,9.2,0,1,69
8414,6874,0.22,0.47,6.0,0,4,55
20466,16824,0.19,0.35,9.6,0,1,77
24354,19449,0.22,0.3,9.8,0,1,85
14757,10750,0.3,0.44,9.8,2711,0,92
20357,17278,0.15,0.52,8.9,2263,3,58
10663,7348,0.28,0.57,7.3,7658,0,82
28698,23975,0.18,0.22,6.7,0,3,71
29123,25316,0.14,0.53,7.8,0,3,54
24578,16953,0.33,0.47,6.1,0,3,84
16295,14811,0.08,0.34,6.5,0,3,47
17703,12469,0.32,0.29,8.1,0,4,86
16510,15596,0.07,0.12,9.6,2421,4,59
28313,25748,0.08,0.44,8.8,0,2,53
14660,12496,0.18,0.31,8.5,0,3,66
26134,19055,0.28,0.3,7.4,3503,4,85
19517,17077,0.13,0.43,8.4,0,1,62
11880,10458,0.08,0.14,8.5,3099,3,61
19574,16565,0.15,0.45,7.8,7072,3,62
20648,16138,0.21,0.44,9.3,3855,4,70
12087,7716,0.35,0.51,8.6,7460,0,95
26662,17977,0.34,0.2,6.6,3025,1,95
12746,9384,0.27,0.17,9.4,0,4,84
17742,14785,0.18,0.19,7.6,0,2,74
20949,14256,0.33,0.53,7.9,7292,3,88
20320,12744,0.35,0.52,7.7,0,2,90
9982,8783,0.08,0.33,7.4,6797,1,60
27801,25537,0.08,0.49,7.4,0,1,51
29334,21370,0.26,0.43,7.5,3519,2,86
18324,14582,0.21,0.48,8.3,0,3,66
27209,18772,0.31,0.36,7.5,7755,1,95
8351,5961,0.26,0.58,9.6,3200,0,79
21019,19381,0.09,0.32,6.9,0,0,60
24633,19188,0.23,0.51,6.9,0,3,67
24403,19306,0.21,0.42,6.1,2986,1,74
19501,13251,0.34,0.37,7.7,0,2,92
26930,17909,0.33,0.15,7.5,2869,1,95
27902,23568,0.14,0.56,6.2,0,4,48
17985,12468,0.29,0.23,7.5,2697,1,95
28560,25746,0.11,0.47,9.6,0,0,64
25749,21401,0.16,0.17,6.7,6652,3,74
12098,8243,0.28,0.43,6.2,3465,3,74
24336,17429,0.29,0.3,9.0,2781,1,95
18867,16200,0.12,0.29,7.6,6886,2,66
20996,16149,0.23,0.28,6.1,6532,1,84
27499,24798,0.11,0.28,6.1,7180,2,63
8449,7813,0.12,0.58,8.4,7232,2,53
20283,18030,0.12,0.12,9.0,0,1,74
29445,23441,0.21,0.15,7.9,6291,2,90
21524,15734,0.27,0.13,9.7,0,3,94
28675,23818,0.16,0.39,6.8,5357,0,75
21092,15043,0.3,0.23,7.8,0,1,95
13950,12909,0.11,0.24,8.1,0,1,63
21618,15653,0.29,0.49,8.8,0,2,83
25271,20228,0.21,0.37,9.1,4856,4,74
9383,8546,0.14,0.44,8.4,0,4,50
28372,22487,0.22,0.17,7.5,4033,2,88
16317,12323,0.22,0.55,7.0,0,3,62
26205,19663,0.25,0.17,9.4,0,3,91
11653,8402,0.24,0.34,9.0,7627,0,89
16819,14222,0.18,0.31,6.6,5149,4,64
23833,18145,0.22,0.44,6.6,0,4,66
10498,7115,0.35,0.52,6.9,3860,4,77
12885,10992,0.14,0.52,9.2,7533,4,56
23572,18075,0.24,0.23,8.0,2587,2,87
